ticket_id,customer_id,category,status,created_date,resolved_date
T00001,C0392,Payment,Resolved,2025-01-31,2025-02-01
T00002,C0255,Login,Resolved,2025-04-08,2025-04-17
T00003,C0361,Technical,Resolved,2025-06-21,2025-06-27
T00004,C0037,Login,Open,2025-01-11,
T00005,C0224,Billing,Resolved,2025-01-20,2025-01-26
T00006,C0295,Login,Resolved,2025-06-13,2025-06-20
T00007,C0149,Billing,Resolved,2025-03-25,2025-03-28
T00008,C0411,Account,Resolved,2025-06-26,2025-07-02
T00009,C0046,Login,Open,2025-03-04,
T00010,C0224,Account,Resolved,2025-01-21,2025-01-28
T00011,C0446,Payment,Open,2025-02-26,
T00012,C0171,Technical,Resolved,2025-06-12,2025-06-14
T00013,C0272,Account,Resolved,2025-03-31,2025-04-06
T00014,C0373,Technical,Resolved,2025-02-07,2025-02-12
T00015,C0102,Technical,Resolved,2025-06-17,2025-06-19
T00016,C0091,Login,Resolved,2025-05-25,2025-06-04
T00017,C0230,Account,Resolved,2025-06-09,2025-06-15
T00018,C0443,Payment,Resolved,2025-01-18,2025-01-26
T00019,C0227,Payment,Open,2025-06-01,
T00020,C0029,Payment,Resolved,2025-03-21,2025-03-29
T00021,C0232,Billing,Resolved,2025-03-15,2025-03-17
T00022,C0331,Billing,Resolved,2025-05-10,2025-05-17
T00023,C0237,Account,Resolved,2025-01-11,2025-01-19
T00024,C0466,Account,Resolved,2025-03-24,2025-04-03
T00025,C0244,Account,Resolved,2025-01-16,2025-01-24
T00026,C0053,Payment,Pending,2025-01-22,
T00027,C0259,Technical,Resolved,2025-04-23,2025-05-01
T00028,C0269,Account,Resolved,2025-04-04,2025-04-10
T00029,C0470,Payment,Resolved,2025-03-28,2025-04-07
T00030,C0027,Payment,Resolved,2025-01-25,2025-02-03
T00031,C0348,Login,Resolved,2025-06-18,2025-06-28
T00032,C0448,Technical,Resolved,2025-05-30,2025-06-02
T00033,C0470,Payment,Resolved,2025-06-17,2025-06-24
T00034,C0067,Account,Open,2025-01-22,
T00035,C0159,Account,Resolved,2025-03-26,2025-03-29
T00036,C0344,Account,Resolved,2025-06-21,2025-06-28
T00037,C0261,Payment,Resolved,2025-03-21,2025-03-24
T00038,C0487,Technical,Resolved,2025-05-05,2025-05-09
T00039,C0116,Technical,Resolved,2025-03-17,2025-03-19
T00040,C0260,Account,Open,2025-05-15,
T00041,C0020,Payment,Open,2025-06-08,
T00042,C0068,Account,Resolved,2025-02-11,2025-02-14
T00043,C0426,Account,Open,2025-02-12,
T00044,C0370,Login,Resolved,2025-04-04,2025-04-08
T00045,C0497,Login,Resolved,2025-04-25,2025-04-29
T00046,C0274,Technical,Resolved,2025-05-01,2025-05-05
T00047,C0189,Account,Pending,2025-04-29,
T00048,C0394,Payment,Open,2025-05-09,
T00049,C0271,Login,Pending,2025-02-21,
T00050,C0411,Account,Resolved,2025-03-06,2025-03-07
T00051,C0329,Login,Open,2025-05-22,
T00052,C0479,Billing,Open,2025-05-13,
T00053,C0436,Billing,Resolved,2025-02-11,2025-02-16
T00054,C0231,Account,Resolved,2025-04-22,2025-04-24
T00055,C0485,Technical,Open,2025-03-31,
T00056,C0477,Billing,Resolved,2025-04-12,2025-04-21
T00057,C0192,Technical,Resolved,2025-01-21,2025-01-27
T00058,C0115,Billing,Resolved,2025-01-26,2025-02-01
T00059,C0406,Technical,Resolved,2025-03-15,2025-03-23
T00060,C0357,Technical,Open,2025-05-01,
T00061,C0230,Account,Resolved,2025-01-21,2025-01-22
T00062,C0132,Technical,Open,2025-05-21,
T00063,C0482,Account,Resolved,2025-01-29,2025-02-03
T00064,C0122,Payment,Resolved,2025-03-03,2025-03-10
T00065,C0328,Account,Resolved,2025-01-29,2025-02-06
T00066,C0306,Account,Resolved,2025-05-12,2025-05-22
T00067,C0124,Technical,Resolved,2025-01-01,2025-01-11
T00068,C0181,Technical,Resolved,2025-02-17,2025-02-19
T00069,C0269,Payment,Resolved,2025-05-15,2025-05-24
T00070,C0260,Account,Resolved,2025-04-10,2025-04-18
T00071,C0023,Login,Pending,2025-03-06,
T00072,C0383,Billing,Resolved,2025-01-18,2025-01-24
T00073,C0124,Billing,Open,2025-03-27,
T00074,C0069,Billing,Resolved,2025-03-28,2025-03-31
T00075,C0426,Login,Pending,2025-05-03,
T00076,C0324,Technical,Open,2025-01-17,
T00077,C0367,Login,Resolved,2025-02-21,2025-02-22
T00078,C0406,Technical,Open,2025-03-22,
T00079,C0478,Payment,Resolved,2025-05-20,2025-05-28
T00080,C0130,Billing,Open,2025-02-18,
T00081,C0147,Payment,Open,2025-01-13,
T00082,C0444,Payment,Resolved,2025-04-05,2025-04-12
T00083,C0456,Login,Open,2025-04-09,
T00084,C0174,Technical,Resolved,2025-05-08,2025-05-14
T00085,C0474,Account,Resolved,2025-01-22,2025-01-29
T00086,C0041,Login,Resolved,2025-02-16,2025-02-25
T00087,C0151,Payment,Resolved,2025-03-25,2025-03-30
T00088,C0157,Login,Resolved,2025-04-20,2025-04-23
T00089,C0354,Login,Resolved,2025-01-11,2025-01-17
T00090,C0315,Login,Resolved,2025-01-15,2025-01-17
T00091,C0344,Login,Resolved,2025-06-23,2025-06-26
T00092,C0488,Billing,Resolved,2025-06-05,2025-06-13
T00093,C0018,Technical,Resolved,2025-06-15,2025-06-21
T00094,C0186,Login,Pending,2025-01-09,
T00095,C0310,Technical,Resolved,2025-04-05,2025-04-11
T00096,C0228,Billing,Resolved,2025-05-16,2025-05-22
T00097,C0204,Payment,Resolved,2025-03-05,2025-03-07
T00098,C0014,Technical,Resolved,2025-04-10,2025-04-19
T00099,C0061,Payment,Open,2025-06-30,
T00100,C0229,Technical,Pending,2025-03-15,
T00101,C0356,Login,Resolved,2025-02-04,2025-02-06
T00102,C0232,Technical,Open,2025-04-24,
T00103,C0045,Payment,Resolved,2025-01-17,2025-01-26
T00104,C0278,Payment,Open,2025-02-10,
T00105,C0365,Technical,Open,2025-05-11,
T00106,C0115,Billing,Pending,2025-02-05,
T00107,C0122,Login,Resolved,2025-05-22,2025-06-01
T00108,C0189,Login,Open,2025-05-22,
T00109,C0067,Account,Open,2025-01-17,
T00110,C0159,Login,Pending,2025-05-03,
T00111,C0270,Login,Open,2025-05-28,
T00112,C0038,Technical,Pending,2025-06-14,
T00113,C0038,Login,Resolved,2025-05-13,2025-05-19
T00114,C0066,Account,Resolved,2025-02-16,2025-02-19
T00115,C0222,Account,Pending,2025-01-15,
T00116,C0426,Billing,Resolved,2025-03-19,2025-03-22
T00117,C0083,Payment,Pending,2025-02-27,
T00118,C0178,Account,Open,2025-01-21,
T00119,C0129,Technical,Resolved,2025-05-22,2025-05-27
T00120,C0065,Payment,Resolved,2025-01-24,2025-02-02
T00121,C0329,Technical,Resolved,2025-05-29,2025-06-01
T00122,C0088,Account,Open,2025-06-04,
T00123,C0173,Account,Resolved,2025-01-08,2025-01-10
T00124,C0024,Account,Resolved,2025-02-23,2025-03-05
T00125,C0214,Account,Resolved,2025-05-08,2025-05-17
T00126,C0149,Payment,Resolved,2025-06-25,2025-07-02
T00127,C0153,Login,Resolved,2025-01-16,2025-01-19
T00128,C0226,Login,Resolved,2025-02-22,2025-02-28
T00129,C0311,Technical,Resolved,2025-03-23,2025-03-29
T00130,C0500,Login,Resolved,2025-04-05,2025-04-14
T00131,C0288,Billing,Resolved,2025-04-30,2025-05-02
T00132,C0137,Login,Resolved,2025-01-25,2025-01-26
T00133,C0149,Login,Open,2025-04-18,
T00134,C0128,Technical,Open,2025-05-28,
T00135,C0370,Payment,Resolved,2025-02-10,2025-02-18
T00136,C0264,Login,Resolved,2025-03-20,2025-03-28
T00137,C0012,Billing,Pending,2025-05-10,
T00138,C0235,Technical,Resolved,2025-04-01,2025-04-02
T00139,C0026,Payment,Resolved,2025-06-17,2025-06-25
T00140,C0147,Account,Resolved,2025-01-28,2025-02-04
T00141,C0069,Payment,Open,2025-04-14,
T00142,C0188,Billing,Resolved,2025-05-26,2025-06-04
T00143,C0100,Payment,Resolved,2025-01-19,2025-01-26
T00144,C0259,Login,Open,2025-03-13,
T00145,C0423,Account,Resolved,2025-01-31,2025-02-03
T00146,C0500,Billing,Resolved,2025-03-28,2025-04-06
T00147,C0481,Payment,Open,2025-02-20,
T00148,C0309,Account,Resolved,2025-01-11,2025-01-12
T00149,C0020,Technical,Open,2025-05-02,
T00150,C0266,Login,Resolved,2025-05-12,2025-05-15
T00151,C0168,Account,Resolved,2025-04-11,2025-04-21
T00152,C0379,Payment,Resolved,2025-05-10,2025-05-19
T00153,C0273,Login,Open,2025-03-18,
T00154,C0244,Billing,Resolved,2025-06-22,2025-06-24
T00155,C0214,Account,Resolved,2025-06-26,2025-06-27
T00156,C0306,Login,Resolved,2025-06-17,2025-06-27
T00157,C0296,Technical,Open,2025-05-30,
T00158,C0246,Technical,Resolved,2025-06-08,2025-06-15
T00159,C0076,Technical,Resolved,2025-06-29,2025-07-01
T00160,C0098,Billing,Resolved,2025-04-18,2025-04-21
T00161,C0212,Technical,Resolved,2025-06-06,2025-06-14
T00162,C0447,Billing,Open,2025-05-13,
T00163,C0107,Account,Resolved,2025-06-19,2025-06-27
T00164,C0270,Login,Resolved,2025-02-14,2025-02-22
T00165,C0468,Account,Resolved,2025-04-01,2025-04-06
T00166,C0313,Login,Resolved,2025-03-05,2025-03-10
T00167,C0286,Payment,Resolved,2025-03-18,2025-03-23
T00168,C0361,Technical,Resolved,2025-05-06,2025-05-12
T00169,C0246,Payment,Resolved,2025-03-12,2025-03-17
T00170,C0063,Account,Resolved,2025-04-08,2025-04-15
T00171,C0420,Payment,Pending,2025-02-07,
T00172,C0149,Billing,Resolved,2025-01-21,2025-01-27
T00173,C0474,Login,Resolved,2025-05-03,2025-05-07
T00174,C0104,Account,Resolved,2025-05-24,2025-05-29
T00175,C0071,Billing,Resolved,2025-05-31,2025-06-04
T00176,C0125,Billing,Resolved,2025-05-16,2025-05-20
T00177,C0327,Technical,Resolved,2025-04-16,2025-04-22
T00178,C0368,Login,Resolved,2025-02-05,2025-02-06
T00179,C0494,Account,Pending,2025-02-10,
T00180,C0209,Login,Resolved,2025-02-21,2025-02-26
T00181,C0165,Payment,Resolved,2025-01-23,2025-02-02
T00182,C0119,Account,Open,2025-01-10,
T00183,C0468,Technical,Resolved,2025-02-15,2025-02-16
T00184,C0429,Login,Open,2025-02-17,
T00185,C0480,Payment,Open,2025-01-03,
T00186,C0153,Account,Resolved,2025-03-27,2025-04-01
T00187,C0233,Account,Resolved,2025-02-04,2025-02-13
T00188,C0240,Payment,Resolved,2025-01-29,2025-02-04
T00189,C0084,Login,Resolved,2025-02-17,2025-02-18
T00190,C0378,Payment,Open,2025-05-26,
T00191,C0346,Technical,Resolved,2025-06-13,2025-06-20
T00192,C0424,Login,Resolved,2025-01-23,2025-01-30
T00193,C0343,Billing,Resolved,2025-02-05,2025-02-13
T00194,C0166,Technical,Resolved,2025-04-09,2025-04-13
T00195,C0229,Payment,Pending,2025-03-19,
T00196,C0299,Account,Resolved,2025-06-17,2025-06-23
T00197,C0355,Technical,Resolved,2025-01-31,2025-02-08
T00198,C0158,Technical,Resolved,2025-05-09,2025-05-14
T00199,C0354,Billing,Resolved,2025-03-17,2025-03-23
T00200,C0315,Technical,Resolved,2025-02-04,2025-02-12
T00201,C0079,Login,Open,2025-06-05,
T00202,C0192,Login,Open,2025-05-01,
T00203,C0388,Account,Open,2025-02-25,
T00204,C0391,Technical,Resolved,2025-06-02,2025-06-04
T00205,C0270,Login,Resolved,2025-04-03,2025-04-05
T00206,C0470,Account,Resolved,2025-05-21,2025-05-30
T00207,C0104,Account,Resolved,2025-02-12,2025-02-18
T00208,C0438,Account,Resolved,2025-06-24,2025-06-28
T00209,C0368,Account,Resolved,2025-05-11,2025-05-19
T00210,C0415,Billing,Resolved,2025-05-12,2025-05-19
T00211,C0234,Account,Resolved,2025-04-29,2025-05-04
T00212,C0371,Billing,Resolved,2025-01-01,2025-01-05
T00213,C0297,Billing,Resolved,2025-03-30,2025-04-01
T00214,C0278,Billing,Pending,2025-01-18,
T00215,C0479,Login,Resolved,2025-04-15,2025-04-18
T00216,C0394,Technical,Open,2025-06-15,
T00217,C0494,Login,Resolved,2025-04-08,2025-04-16
T00218,C0446,Login,Resolved,2025-06-24,2025-07-03
T00219,C0069,Payment,Resolved,2025-05-18,2025-05-25
T00220,C0271,Technical,Open,2025-02-27,
T00221,C0428,Billing,Open,2025-03-18,
T00222,C0238,Account,Resolved,2025-04-08,2025-04-12
T00223,C0127,Login,Resolved,2025-03-12,2025-03-16
T00224,C0480,Billing,Resolved,2025-06-19,2025-06-26
T00225,C0315,Billing,Resolved,2025-01-18,2025-01-20
T00226,C0305,Billing,Resolved,2025-06-22,2025-06-23
T00227,C0126,Billing,Resolved,2025-03-01,2025-03-10
T00228,C0112,Billing,Resolved,2025-03-16,2025-03-20
T00229,C0418,Account,Resolved,2025-06-03,2025-06-09
T00230,C0122,Payment,Open,2025-06-19,
T00231,C0267,Technical,Resolved,2025-03-12,2025-03-13
T00232,C0286,Account,Open,2025-02-14,
T00233,C0321,Login,Resolved,2025-01-13,2025-01-19
T00234,C0483,Login,Open,2025-03-23,
T00235,C0357,Login,Resolved,2025-03-18,2025-03-25
T00236,C0095,Account,Resolved,2025-02-27,2025-03-04
T00237,C0440,Technical,Open,2025-01-15,
T00238,C0288,Login,Pending,2025-05-23,
T00239,C0272,Technical,Resolved,2025-03-07,2025-03-11
T00240,C0170,Billing,Pending,2025-04-05,
T00241,C0048,Account,Open,2025-02-18,
T00242,C0027,Payment,Resolved,2025-06-04,2025-06-14
T00243,C0021,Billing,Resolved,2025-05-31,2025-06-09
T00244,C0112,Login,Resolved,2025-03-27,2025-04-01
T00245,C0490,Billing,Resolved,2025-02-18,2025-02-20
T00246,C0383,Login,Pending,2025-06-28,
T00247,C0310,Technical,Resolved,2025-03-03,2025-03-12
T00248,C0165,Payment,Resolved,2025-05-17,2025-05-23
T00249,C0158,Payment,Resolved,2025-05-08,2025-05-16
T00250,C0051,Login,Open,2025-03-23,
T00251,C0469,Technical,Resolved,2025-04-16,2025-04-17
T00252,C0289,Technical,Open,2025-01-05,
T00253,C0134,Account,Pending,2025-05-29,
T00254,C0369,Login,Resolved,2025-02-20,2025-02-26
T00255,C0118,Login,Resolved,2025-03-04,2025-03-12
T00256,C0282,Payment,Resolved,2025-05-06,2025-05-14
T00257,C0236,Technical,Open,2025-04-01,
T00258,C0087,Technical,Open,2025-05-06,
T00259,C0095,Account,Pending,2025-01-16,
T00260,C0269,Billing,Open,2025-01-20,
T00261,C0484,Billing,Open,2025-04-16,
T00262,C0071,Technical,Resolved,2025-02-08,2025-02-09
T00263,C0112,Account,Resolved,2025-01-16,2025-01-26
T00264,C0327,Account,Pending,2025-06-18,
T00265,C0250,Billing,Resolved,2025-05-22,2025-05-29
T00266,C0007,Billing,Resolved,2025-03-12,2025-03-21
T00267,C0147,Billing,Resolved,2025-06-28,2025-07-05
T00268,C0413,Technical,Resolved,2025-01-25,2025-02-03
T00269,C0077,Technical,Resolved,2025-05-15,2025-05-20
T00270,C0418,Payment,Resolved,2025-04-12,2025-04-14
T00271,C0192,Login,Resolved,2025-03-04,2025-03-08
T00272,C0154,Billing,Resolved,2025-06-16,2025-06-17
T00273,C0048,Login,Resolved,2025-05-22,2025-05-30
T00274,C0029,Billing,Open,2025-01-22,
T00275,C0256,Login,Resolved,2025-03-26,2025-04-05
T00276,C0440,Billing,Open,2025-01-11,
T00277,C0118,Technical,Pending,2025-06-27,
T00278,C0455,Account,Resolved,2025-01-12,2025-01-14
T00279,C0351,Payment,Open,2025-05-25,
T00280,C0337,Billing,Resolved,2025-03-22,2025-03-23
T00281,C0493,Technical,Resolved,2025-04-12,2025-04-14
T00282,C0154,Technical,Resolved,2025-05-26,2025-06-02
T00283,C0347,Account,Resolved,2025-02-05,2025-02-07
T00284,C0257,Payment,Resolved,2025-04-22,2025-04-26
T00285,C0430,Billing,Resolved,2025-06-07,2025-06-17
T00286,C0204,Payment,Resolved,2025-03-11,2025-03-19
T00287,C0252,Technical,Resolved,2025-04-07,2025-04-14
T00288,C0096,Account,Resolved,2025-01-22,2025-02-01
T00289,C0152,Technical,Open,2025-01-22,
T00290,C0138,Technical,Resolved,2025-06-12,2025-06-15
T00291,C0379,Login,Resolved,2025-01-28,2025-01-30
T00292,C0003,Payment,Resolved,2025-03-11,2025-03-13
T00293,C0068,Billing,Resolved,2025-04-25,2025-05-04
T00294,C0285,Account,Resolved,2025-01-07,2025-01-09
T00295,C0182,Account,Resolved,2025-06-03,2025-06-09
T00296,C0443,Login,Resolved,2025-04-16,2025-04-23
