customer_id,cancelled,cancellation_date,cancellation_reason
C0001,Yes,2026-08-08,Service Quality
C0166,Yes,2026-08-08,Service Quality
C0040,Yes,2026-08-08,Poor Support
C0459,Yes,2026-08-08,Product Issues
C0027,Yes,2026-08-08,Poor Support
C0071,Yes,2026-08-08,Competitor
C0262,Yes,2026-08-08,Product Issues
C0414,Yes,2026-08-08,Competitor
C0226,Yes,2026-08-08,Competitor
C0218,Yes,2026-08-08,High Pricing
C0341,Yes,2026-08-08,Competitor
C0242,Yes,2026-08-08,Product Issues
C0168,Yes,2026-08-08,Poor Support
C0155,Yes,2026-08-08,Poor Support
C0257,Yes,2026-08-08,Service Quality
C0390,Yes,2026-08-08,Poor Support
C0061,Yes,2026-08-08,Product Issues
C0124,Yes,2026-08-08,High Pricing
C0287,Yes,2026-08-08,High Pricing
C0202,Yes,2026-08-08,High Pricing
C0194,Yes,2026-08-08,Poor Support
C0397,Yes,2026-08-08,Competitor
C0198,Yes,2026-08-08,Poor Support
C0362,Yes,2026-08-08,Poor Support
C0243,Yes,2026-08-08,Competitor
C0182,Yes,2026-08-08,Poor Support
C0160,Yes,2026-08-08,Service Quality
C0430,Yes,2026-08-08,Poor Support
C0268,Yes,2026-08-08,Product Issues
C0163,Yes,2026-08-08,Service Quality
C0272,Yes,2026-08-08,High Pricing
C0041,Yes,2026-08-08,Product Issues
C0453,Yes,2026-08-08,Poor Support
C0310,Yes,2026-08-08,Service Quality
C0432,Yes,2026-08-08,Service Quality
C0110,Yes,2026-08-08,High Pricing
C0086,Yes,2026-08-08,Product Issues
C0325,Yes,2026-08-08,Service Quality
C0427,Yes,2026-08-08,Product Issues
C0143,Yes,2026-08-08,Poor Support
C0365,Yes,2026-08-08,Competitor
C0074,Yes,2026-08-08,Competitor
C0431,Yes,2026-08-08,Poor Support
C0224,Yes,2026-08-08,Poor Support
C0482,Yes,2026-08-08,High Pricing
C0227,Yes,2026-08-08,Product Issues
C0251,Yes,2026-08-08,High Pricing
C0356,Yes,2026-08-08,Service Quality
C0404,Yes,2026-08-08,Poor Support
C0129,Yes,2026-08-08,High Pricing
C0351,Yes,2026-08-08,Competitor
C0062,Yes,2026-08-08,Poor Support
C0286,Yes,2026-08-08,Service Quality
C0223,Yes,2026-08-08,Product Issues
C0334,Yes,2026-08-08,High Pricing
C0179,Yes,2026-08-08,Product Issues
C0092,Yes,2026-08-08,Competitor
C0013,Yes,2026-08-08,High Pricing
C0188,Yes,2026-08-08,Poor Support
C0438,Yes,2026-08-08,Service Quality
C0239,Yes,2026-08-08,Service Quality
C0395,Yes,2026-08-08,Product Issues
C0344,Yes,2026-08-08,Service Quality
C0178,Yes,2026-08-08,Poor Support
C0373,Yes,2026-08-08,Service Quality
C0491,Yes,2026-08-08,Competitor
C0465,Yes,2026-08-08,Product Issues
C0316,Yes,2026-08-08,Poor Support
C0456,Yes,2026-08-08,Product Issues
C0098,Yes,2026-08-08,Competitor
C0196,Yes,2026-08-08,Poor Support
C0192,Yes,2026-08-08,Poor Support
C0444,Yes,2026-08-08,Poor Support
C0383,Yes,2026-08-08,High Pricing
C0006,Yes,2026-08-08,Poor Support
C0101,Yes,2026-08-08,High Pricing
C0455,Yes,2026-08-08,Service Quality
C0185,Yes,2026-08-08,Product Issues
C0270,Yes,2026-08-08,Poor Support
C0100,Yes,2026-08-08,High Pricing
C0003,Yes,2026-08-08,Poor Support
C0301,Yes,2026-08-08,High Pricing
C0159,Yes,2026-08-08,Service Quality
C0169,Yes,2026-08-08,Competitor
C0049,Yes,2026-08-08,Poor Support
C0189,Yes,2026-08-08,High Pricing
C0130,Yes,2026-08-08,Service Quality
C0258,Yes,2026-08-08,High Pricing
C0007,Yes,2026-08-08,High Pricing
C0311,Yes,2026-08-08,Service Quality
C0140,Yes,2026-08-08,Poor Support
C0018,Yes,2026-08-08,Competitor
C0332,Yes,2026-08-08,Service Quality
C0141,Yes,2026-08-08,High Pricing
C0329,Yes,2026-08-08,Service Quality
C0246,Yes,2026-08-08,High Pricing
C0204,Yes,2026-08-08,Product Issues
C0023,Yes,2026-08-08,Service Quality
C0357,Yes,2026-08-08,Competitor
C0361,Yes,2026-08-08,High Pricing
