escalation_id,ticket_id,customer_id,escalated,escalation_level
E00001,T00001,C0392,Yes,L1
E00002,T00006,C0295,Yes,L3
E00003,T00011,C0446,Yes,L2
E00004,T00012,C0171,Yes,L2
E00005,T00015,C0102,Yes,L1
E00006,T00016,C0091,Yes,L3
E00007,T00030,C0027,Yes,L2
E00008,T00031,C0348,Yes,L1
E00009,T00035,C0159,Yes,L2
E00010,T00037,C0261,Yes,L1
E00011,T00038,C0487,Yes,L1
E00012,T00039,C0116,Yes,L1
E00013,T00041,C0020,Yes,L1
E00014,T00053,C0436,Yes,L2
E00015,T00060,C0357,Yes,L3
E00016,T00061,C0230,Yes,L1
E00017,T00065,C0328,Yes,L3
E00018,T00067,C0124,Yes,L3
E00019,T00082,C0444,Yes,L3
E00020,T00087,C0151,Yes,L1
E00021,T00088,C0157,Yes,L1
E00022,T00091,C0344,Yes,L3
E00023,T00092,C0488,Yes,L2
E00024,T00094,C0186,Yes,L2
E00025,T00097,C0204,Yes,L2
E00026,T00102,C0232,Yes,L3
E00027,T00103,C0045,Yes,L3
E00028,T00104,C0278,Yes,L2
E00029,T00119,C0129,Yes,L1
E00030,T00121,C0329,Yes,L2
E00031,T00126,C0149,Yes,L3
E00032,T00130,C0500,Yes,L2
E00033,T00133,C0149,Yes,L3
E00034,T00135,C0370,Yes,L2
E00035,T00143,C0100,Yes,L1
E00036,T00147,C0481,Yes,L3
E00037,T00149,C0020,Yes,L1
E00038,T00156,C0306,Yes,L3
E00039,T00157,C0296,Yes,L2
E00040,T00158,C0246,Yes,L2
E00041,T00159,C0076,Yes,L1
E00042,T00161,C0212,Yes,L2
E00043,T00164,C0270,Yes,L3
E00044,T00168,C0361,Yes,L1
E00045,T00169,C0246,Yes,L1
E00046,T00177,C0327,Yes,L2
E00047,T00181,C0165,Yes,L2
E00048,T00186,C0153,Yes,L1
E00049,T00188,C0240,Yes,L2
E00050,T00191,C0346,Yes,L3
E00051,T00195,C0229,Yes,L2
E00052,T00199,C0354,Yes,L1
E00053,T00203,C0388,Yes,L2
E00054,T00212,C0371,Yes,L3
E00055,T00214,C0278,Yes,L1
E00056,T00215,C0479,Yes,L1
E00057,T00216,C0394,Yes,L1
E00058,T00220,C0271,Yes,L1
E00059,T00225,C0315,Yes,L2
E00060,T00230,C0122,Yes,L2
E00061,T00236,C0095,Yes,L3
E00062,T00241,C0048,Yes,L1
E00063,T00242,C0027,Yes,L2
E00064,T00245,C0490,Yes,L1
E00065,T00248,C0165,Yes,L2
E00066,T00258,C0087,Yes,L3
E00067,T00260,C0269,Yes,L3
E00068,T00262,C0071,Yes,L2
E00069,T00264,C0327,Yes,L3
E00070,T00266,C0007,Yes,L2
E00071,T00268,C0413,Yes,L3
E00072,T00269,C0077,Yes,L1
E00073,T00270,C0418,Yes,L3
E00074,T00276,C0440,Yes,L2
E00075,T00277,C0118,Yes,L3
E00076,T00278,C0455,Yes,L2
E00077,T00279,C0351,Yes,L2
E00078,T00284,C0257,Yes,L1
E00079,T00285,C0430,Yes,L3
E00080,T00286,C0204,Yes,L3
E00081,T00287,C0252,Yes,L2
E00082,T00291,C0379,Yes,L2
E00083,T00297,C0399,Yes,L1
E00084,T00300,C0075,Yes,L3
E00085,T00304,C0156,Yes,L1
E00086,T00307,C0499,Yes,L1
E00087,T00308,C0486,Yes,L1
E00088,T00309,C0496,Yes,L3
E00089,T00310,C0496,Yes,L2
E00090,T00312,C0187,Yes,L1
E00091,T00317,C0124,Yes,L2
E00092,T00320,C0279,Yes,L3
E00093,T00322,C0394,Yes,L1
E00094,T00325,C0055,Yes,L1
E00095,T00327,C0114,Yes,L2
E00096,T00330,C0426,Yes,L1
E00097,T00335,C0477,Yes,L3
E00098,T00338,C0203,Yes,L3
E00099,T00342,C0096,Yes,L2
E00100,T00347,C0044,Yes,L3
E00101,T00351,C0285,Yes,L1
E00102,T00357,C0276,Yes,L2
E00103,T00358,C0381,Yes,L1
E00104,T00362,C0377,Yes,L1
E00105,T00363,C0135,Yes,L1
E00106,T00368,C0306,Yes,L1
E00107,T00371,C0444,Yes,L1
E00108,T00374,C0322,Yes,L1
E00109,T00376,C0480,Yes,L3
E00110,T00379,C0436,Yes,L1
E00111,T00383,C0458,Yes,L1
E00112,T00386,C0353,Yes,L1
E00113,T00393,C0419,Yes,L1
E00114,T00394,C0356,Yes,L2
E00115,T00395,C0046,Yes,L2
E00116,T00396,C0071,Yes,L1
E00117,T00397,C0329,Yes,L2
E00118,T00398,C0313,Yes,L2
E00119,T00400,C0045,Yes,L3
E00120,T00404,C0399,Yes,L1
E00121,T00409,C0185,Yes,L2
E00122,T00410,C0188,Yes,L1
E00123,T00413,C0260,Yes,L3
E00124,T00415,C0316,Yes,L2
E00125,T00416,C0262,Yes,L3
E00126,T00419,C0030,Yes,L1
E00127,T00422,C0006,Yes,L2
E00128,T00425,C0172,Yes,L1
E00129,T00429,C0346,Yes,L1
E00130,T00434,C0191,Yes,L3
E00131,T00437,C0168,Yes,L2
E00132,T00441,C0078,Yes,L2
E00133,T00446,C0365,Yes,L3
E00134,T00453,C0080,Yes,L1
E00135,T00461,C0384,Yes,L1
E00136,T00462,C0412,Yes,L2
E00137,T00465,C0012,Yes,L2
E00138,T00466,C0415,Yes,L1
E00139,T00468,C0421,Yes,L3
E00140,T00473,C0032,Yes,L1
E00141,T00474,C0103,Yes,L3
E00142,T00477,C0093,Yes,L2
E00143,T00481,C0418,Yes,L3
E00144,T00483,C0122,Yes,L2
E00145,T00484,C0468,Yes,L1
E00146,T00485,C0486,Yes,L3
E00147,T00490,C0031,Yes,L3
E00148,T00492,C0492,Yes,L2
E00149,T00494,C0500,Yes,L3
E00150,T00499,C0201,Yes,L1
E00151,T00501,C0480,Yes,L2
E00152,T00510,C0176,Yes,L1
E00153,T00513,C0016,Yes,L1
E00154,T00515,C0106,Yes,L2
E00155,T00516,C0136,Yes,L3
E00156,T00519,C0422,Yes,L3
E00157,T00521,C0433,Yes,L3
E00158,T00524,C0096,Yes,L2
E00159,T00526,C0032,Yes,L1
E00160,T00527,C0050,Yes,L2
E00161,T00530,C0294,Yes,L2
E00162,T00531,C0463,Yes,L1
E00163,T00532,C0347,Yes,L3
E00164,T00533,C0486,Yes,L2
E00165,T00534,C0065,Yes,L1
E00166,T00536,C0164,Yes,L2
E00167,T00537,C0283,Yes,L3
E00168,T00541,C0389,Yes,L2
E00169,T00542,C0400,Yes,L2
E00170,T00543,C0451,Yes,L2
E00171,T00550,C0351,Yes,L3
E00172,T00551,C0069,Yes,L2
E00173,T00556,C0160,Yes,L2
E00174,T00559,C0141,Yes,L1
E00175,T00560,C0204,Yes,L2
E00176,T00561,C0251,Yes,L3
E00177,T00562,C0283,Yes,L3
E00178,T00563,C0146,Yes,L1
E00179,T00567,C0308,Yes,L3
E00180,T00581,C0093,Yes,L3
E00181,T00586,C0028,Yes,L1
E00182,T00587,C0242,Yes,L2
E00183,T00591,C0399,Yes,L1
E00184,T00593,C0390,Yes,L2
E00185,T00594,C0403,Yes,L2
E00186,T00597,C0457,Yes,L3
E00187,T00599,C0116,Yes,L2
E00188,T00608,C0339,Yes,L2
E00189,T00611,C0356,Yes,L2
E00190,T00614,C0145,Yes,L1
E00191,T00617,C0083,Yes,L3
E00192,T00618,C0170,Yes,L3
E00193,T00619,C0465,Yes,L1
E00194,T00623,C0136,Yes,L2
E00195,T00624,C0437,Yes,L2
E00196,T00626,C0437,Yes,L2
E00197,T00628,C0450,Yes,L2
E00198,T00632,C0483,Yes,L3
E00199,T00633,C0411,Yes,L2
E00200,T00636,C0024,Yes,L2
E00201,T00641,C0077,Yes,L2
E00202,T00642,C0028,Yes,L1
E00203,T00644,C0039,Yes,L1
E00204,T00646,C0207,Yes,L3
E00205,T00648,C0162,Yes,L2
E00206,T00653,C0423,Yes,L3
E00207,T00655,C0243,Yes,L1
E00208,T00656,C0050,Yes,L1
E00209,T00658,C0460,Yes,L3
E00210,T00661,C0367,Yes,L2
E00211,T00663,C0338,Yes,L2
E00212,T00671,C0232,Yes,L3
E00213,T00681,C0350,Yes,L3
E00214,T00687,C0007,Yes,L2
E00215,T00690,C0230,Yes,L3
E00216,T00691,C0096,Yes,L3
E00217,T00699,C0035,Yes,L3
E00218,T00703,C0005,Yes,L2
E00219,T00705,C0491,Yes,L1
E00220,T00708,C0264,Yes,L2
E00221,T00709,C0460,Yes,L2
E00222,T00720,C0359,Yes,L1
E00223,T00733,C0149,Yes,L1
E00224,T00735,C0052,Yes,L3
E00225,T00736,C0249,Yes,L2
E00226,T00737,C0356,Yes,L3
E00227,T00740,C0142,Yes,L2
E00228,T00745,C0373,Yes,L2
E00229,T00747,C0208,Yes,L2
E00230,T00749,C0242,Yes,L2
E00231,T00754,C0377,Yes,L2
E00232,T00763,C0250,Yes,L2
E00233,T00764,C0257,Yes,L1
E00234,T00765,C0264,Yes,L2
E00235,T00772,C0473,Yes,L3
E00236,T00774,C0485,Yes,L3
E00237,T00776,C0074,Yes,L3
E00238,T00781,C0050,Yes,L2
E00239,T00783,C0247,Yes,L1
E00240,T00785,C0333,Yes,L1
E00241,T00793,C0353,Yes,L1
E00242,T00794,C0219,Yes,L1
E00243,T00797,C0092,Yes,L3
E00244,T00801,C0052,Yes,L3
E00245,T00802,C0315,Yes,L2
E00246,T00805,C0114,Yes,L3
E00247,T00809,C0147,Yes,L2
E00248,T00817,C0477,Yes,L2
E00249,T00819,C0151,Yes,L1
E00250,T00820,C0490,Yes,L1
E00251,T00821,C0129,Yes,L2
E00252,T00824,C0247,Yes,L1
E00253,T00826,C0490,Yes,L1
E00254,T00829,C0161,Yes,L2
E00255,T00830,C0094,Yes,L2
E00256,T00833,C0183,Yes,L2
E00257,T00834,C0472,Yes,L1
E00258,T00838,C0252,Yes,L2
E00259,T00843,C0236,Yes,L3
E00260,T00845,C0442,Yes,L3
E00261,T00846,C0138,Yes,L1
E00262,T00849,C0231,Yes,L2
E00263,T00850,C0417,Yes,L1
E00264,T00851,C0285,Yes,L1
E00265,T00852,C0075,Yes,L3
E00266,T00854,C0274,Yes,L2
E00267,T00859,C0286,Yes,L3
E00268,T00864,C0328,Yes,L1
E00269,T00871,C0108,Yes,L1
E00270,T00875,C0227,Yes,L3
E00271,T00876,C0018,Yes,L2
E00272,T00883,C0156,Yes,L1
E00273,T00886,C0306,Yes,L2
E00274,T00887,C0192,Yes,L3
E00275,T00890,C0321,Yes,L1
E00276,T00892,C0097,Yes,L1
E00277,T00894,C0252,Yes,L3
E00278,T00896,C0138,Yes,L2
E00279,T00897,C0120,Yes,L2
E00280,T00902,C0063,Yes,L1
E00281,T00904,C0341,Yes,L3
E00282,T00905,C0480,Yes,L1
E00283,T00906,C0267,Yes,L2
E00284,T00916,C0250,Yes,L1
E00285,T00921,C0096,Yes,L1
E00286,T00924,C0420,Yes,L1
E00287,T00930,C0057,Yes,L2
E00288,T00931,C0428,Yes,L3
E00289,T00933,C0329,Yes,L3
E00290,T00934,C0360,Yes,L2
E00291,T00935,C0311,Yes,L2
E00292,T00941,C0050,Yes,L3
E00293,T00942,C0198,Yes,L2
E00294,T00947,C0206,Yes,L2
E00295,T00949,C0282,Yes,L1
E00296,T00950,C0392,Yes,L1
E00297,T00951,C0312,Yes,L2
E00298,T00954,C0372,Yes,L1
E00299,T00964,C0250,Yes,L2
E00300,T00965,C0305,Yes,L2
E00301,T00972,C0498,Yes,L2
E00302,T00977,C0391,Yes,L2
E00303,T00986,C0379,Yes,L2
E00304,T00990,C0385,Yes,L3
